UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Temperature Difference [K],Power,Power [W],Type_LabelEncoded,Cluster
100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,10.0,67621.2,7081.275504897537,1,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,10.099999999999966,46300.0,4848.524662040247,1,5
103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,10.0,63133.0,6611.27229996948,1,5
104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,10.0,58360.5,6111.4972686609035,2,5
105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,9.899999999999977,62930.0,6590.014189680189,1,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,9.899999999999977,49480.100000000006,5181.543955296278,1,5
107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,9.899999999999977,70082.5,7339.022238173556,1,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,10.0,70059.59999999999,7336.624155781315,2,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,9.900000000000034,53006.700000000004,5550.84864370127,0,5
110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,9.800000000000011,53605.200000000004,5613.523417140386,1,5
111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,9.800000000000011,42120.0,4410.79608564007,1,5
112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,9.900000000000034,65206.5,6828.408712210095,0,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,9.899999999999977,59171.0,6196.372630185388,2,5
114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,9.800000000000011,62263.4,6520.208000917424,2,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,9.800000000000011,49392.0,5172.318144870235,1,5
116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,9.800000000000011,65396.700000000004,6848.326409633854,1,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,9.800000000000011,53332.4,5584.955867943742,1,5
118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,9.800000000000011,52767.0,5525.747318399087,1,5
119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,9.800000000000011,47966.700000000004,5023.0610778981845,2,5
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,9.800000000000011,59706.9,6252.491946954014,1,3
121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,9.800000000000011,64055.100000000006,6707.834386165319,1,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,9.800000000000011,64189.600000000006,6721.919193228913,1,3
123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,9.800000000000011,66417.0,6955.171975782443,1,6
124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,9.800000000000011,67096.4,7026.318577410739,1,6
125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,9.800000000000011,50773.799999999996,5317.0199024945805,1,3
126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,9.700000000000045,50232.00000000001,5260.282739170751,1,3
127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,9.600000000000023,80404.5,8419.939550518684,1,6
128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,9.700000000000045,65704.5,6880.559150259685,1,6
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,9.600000000000023,61258.200000000004,6414.943703071142,1,3
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,9.600000000000023,53473.7,5599.75276934215,1,3
131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,9.599999999999966,60540.3,6339.765390870739,1,3
132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,9.599999999999966,48114.9,5038.580545606917,1,3
133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,9.699999999999989,62251.200000000004,6518.930419904965,2,6
134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,9.699999999999989,70928.0,7427.562791127228,2,6
135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,9.599999999999966,72557.0,7598.151272217154,1,6
136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,9.699999999999989,48763.5,5106.501778777529,2,3
137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,9.800000000000011,64894.00000000001,6795.683788735201,0,6
138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,9.900000000000034,71724.09999999999,7510.930188177988,1,6
139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,9.800000000000011,71580.59999999999,7495.902903318317,0,6
140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,9.800000000000011,70754.4,7409.383441638454,1,6
141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,9.800000000000011,54547.1,5712.158954487593,1,3
142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,9.800000000000011,54348.8,5691.393027047365,1,3
143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,9.799999999999955,50139.6,5250.606633797693,2,3
144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,9.799999999999955,71053.5,7440.705120394745,0,6
145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,9.799999999999955,58978.4,6176.203605349342,2,6
146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,9.899999999999977,50836.8,5323.61724706712,1,3
147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,9.899999999999977,58193.200000000004,6093.977653629385,0,3
148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,10.0,60751.5,6361.88220315201,1,3
149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,10.0,66192.0,6931.610030880519,2,6
150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,9.900000000000034,58772.7,6154.662751721227,1,3
151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,9.900000000000034,60719.4,6358.520699012669,1,6
152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,9.800000000000011,55008.8,5760.50806542634,2,3
153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,9.800000000000011,64944.0,6800.919776491184,2,3
154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,9.800000000000011,49950.0,5230.751768227005,1,3
155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,9.800000000000011,55313.600000000006,5792.426646786813,1,3
157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,9.700000000000045,68770.0,7201.577559579002,2,6
158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,9.800000000000011,64293.0,6732.747215908285,0,6
159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,9.800000000000011,59960.0,6278.996516974799,2,3
160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,9.800000000000011,69137.0,7240.009709707917,1,6
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,9.800000000000011,77817.40000000001,8149.0190720486125,1,6
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,9.800000000000011,73847.59999999999,7733.302588174585,1,6
163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,9.800000000000011,56303.0,5896.036372502203,1,5
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,9.800000000000011,64298.399999999994,6733.312702585931,2,0
165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,9.800000000000011,62784.0,6574.725105432719,2,0
166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,9.899999999999977,45058.0,4718.4627261816295,1,5
167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,9.800000000000011,52551.200000000004,5503.148795244265,0,5
168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,9.900000000000034,62548.2,6550.032187175502,0,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,9.900000000000034,89275.9,9348.950386087232,1,0
170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,9.900000000000034,77893.8,8157.019661339754,1,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,9.800000000000011,56350.0,5900.958200992828,2,5
172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,9.900000000000034,74269.59999999999,7777.494324835082,1,0
174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,9.800000000000011,53616.700000000004,5614.727694324262,2,5
175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,9.900000000000034,76139.8,7973.341210859871,1,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,9.900000000000034,60117.0,6295.437518528586,1,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,9.900000000000034,56144.600000000006,5879.4487632912505,1,5
179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,10.0,72087.2,7548.953931261937,1,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,10.100000000000023,64939.2,6800.417121666609,1,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,10.100000000000023,73602.5,7707.635776194758,1,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,10.100000000000023,44140.799999999996,4622.413766785878,0,5
183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,10.099999999999966,64550.200000000004,6759.681136925063,2,0
184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,10.099999999999966,60439.50000000001,6329.209639554677,1,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,10.0,51010.200000000004,5341.775652604869,1,5
186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,10.0,55237.200000000004,5784.426057495671,1,5
187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,10.199999999999989,72856.0,7629.462478997932,1,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,10.199999999999989,59434.9,6224.008173561467,1,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,10.199999999999989,53961.600000000006,5650.845537865033,1,5
190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,10.099999999999966,66792.59999999999,6994.504715805386,2,0
191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,10.199999999999989,73702.3,7718.086807755701,1,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,10.199999999999989,57643.600000000006,6036.423676215621,1,5
193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,10.199999999999989,72416.4,7583.427674647329,0,0
194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,10.199999999999989,58058.8,6079.903318541303,0,5
196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,10.199999999999989,62333.7,6527.569799702335,1,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,10.300000000000011,70884.0,7422.955121901963,0,0
198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,10.200000000000045,62454.299999999996,6540.199002169767,2,0
199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,10.300000000000011,55580.0,5820.3239895506895,1,5
200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,10.200000000000045,67494.3,7067.986567972853,1,0
201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,10.200000000000045,56315.0,5897.293009563639,1,5
202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,10.199999999999989,64890.00000000001,6795.264909714723,1,0
203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,10.100000000000023,58405.200000000004,6116.178241714753,2,3
204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,10.100000000000023,56471.0,5913.6292913623065,1,3
205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,10.100000000000023,57104.799999999996,5980.000672157146,1,3
206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,10.100000000000023,71232.0,7459.397596683604,2,6
207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,10.199999999999989,56797.7,5947.841235359899,1,3
208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,10.300000000000011,86254.7,9032.571061919716,2,6
209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure,10.200000000000045,58389.700000000004,6114.555085510398,1,3
210,L47389,L,298.4,308.6,1477,44.0,124,0,No Failure,10.200000000000045,64988.0,6805.527445716449,1,6
211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure,10.300000000000011,54980.3,5757.523552405431,1,3
212,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure,10.199999999999989,53392.5,5591.249525226434,1,3
213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure,10.300000000000011,71097.59999999999,7445.323261595521,0,6
214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure,10.300000000000011,62231.4,6516.856968753595,1,6
215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure,10.300000000000011,58951.9,6173.428531838671,2,3
216,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure,10.300000000000011,62384.399999999994,6532.879091286902,1,3
217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure,10.300000000000011,57411.7,6012.13916500337,1,3
218,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure,10.199999999999989,52582.4,5506.416051603997,1,3
219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure,10.300000000000011,55130.700000000004,5773.273403575427,1,3
220,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure,10.199999999999989,66250.8,6937.767552481556,2,6
221,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure,10.199999999999989,74623.2,7814.523230245394,1,6
222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure,10.100000000000023,44396.1,4649.148720267926,0,3
223,L47402,L,298.4,308.6,1304,45.0,158,0,No Failure,10.200000000000045,58680.0,6144.955230421635,1,6
224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure,10.200000000000045,53973.6,5652.102174926468,1,3
225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure,10.300000000000011,46411.200000000004,4860.169498809554,1,3
226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure,10.199999999999989,73275.59999999999,7673.40288824614,1,6
227,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure,10.099999999999966,65386.8,6847.28968405817,1,6
228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure,10.199999999999989,55557.9,5818.009682962545,1,3
229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure,10.199999999999989,60435.9,6328.832648436246,2,3
230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,10.199999999999989,49523.600000000006,5186.099264643983,1,3
231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure,10.300000000000011,54635.99999999999,5721.46854071773,1,3
232,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure,10.099999999999966,60684.8,6354.897395485529,1,6
233,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure,10.199999999999989,67782.40000000001,7098.156329422827,1,6
234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure,10.199999999999989,52768.799999999996,5525.935813958302,1,3
235,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure,10.199999999999989,63406.2,6639.881737068171,1,6
236,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure,10.199999999999989,56616.00000000001,5928.8136558546585,2,3
237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure,10.199999999999989,57856.50000000001,6058.718512080596,1,3
238,M15097,M,298.0,308.1,1552,36.6,190,0,No Failure,10.100000000000023,56803.200000000004,5948.417194013058,2,3
239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure,10.200000000000045,70067.9,7337.493329748808,1,6
240,L47419,L,298.0,308.2,1611,30.6,195,0,No Failure,10.199999999999989,49296.600000000006,5162.32788023182,1,3
241,M15100,M,298.0,308.1,1339,51.6,197,0,No Failure,10.100000000000023,69092.40000000001,7235.339208629582,2,6
242,L47421,L,298.0,308.1,1777,24.3,200,0,No Failure,10.100000000000023,43181.1,4521.91421779754,1,3
243,L47422,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,10.199999999999989,79262.4,8300.33911819652,1,6
244,L47423,L,298.0,308.2,1442,44.1,204,0,No Failure,10.199999999999989,63592.200000000004,6659.359611520428,1,6
245,M15104,M,298.0,308.2,1395,49.1,206,0,No Failure,10.199999999999989,68494.5,7172.727267043536,2,6
246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure,10.200000000000045,51087.799999999996,5349.901905602153,2,3
247,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure,10.200000000000045,53097.5,5560.3571974661345,1,3
